Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Henri,2024-09-14 21:22:34,00:11:51,,Young Sheldon: Saison 6: Des décrochages et le miracle de Medford (Épisode 9),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:12:37,00:12:37,FR (France)
Henri,2024-09-14 21:00:09,00:19:18,,Young Sheldon: Saison 6: Le jargon juridique et Basic Instinct (Épisode 8),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:20:47,00:20:47,FR (France)
Henri,2024-09-14 20:42:15,00:17:14,,Young Sheldon: Saison 6: Une dure à cuire et une note dans le fichier (Épisode 7),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:17:51,00:17:51,FR (France)
Henri,2024-09-14 13:08:09,00:00:53,Autoplayed: user action: None; ,Young Sheldon: Saison 6: Une dure à cuire et une note dans le fichier (Épisode 7),,Google Sabrina ATV Set Top Box,00:01:21,Not latest view,FR (France)
Henri,2024-09-14 12:49:16,00:18:51,,"Young Sheldon: Saison 6: Une voiture moche, une infidélité et une équipe de haut niveau (Épisode 6)",,Google Sabrina ATV Set Top Box,00:19:13,00:19:13,FR (France)
Henri,2024-09-14 12:26:31,00:18:25,,Young Sheldon: Saison 6: Le conseiller des résidents et la légalité (Épisode 5),,Google Sabrina ATV Set Top Box,00:19:02,00:19:02,FR (France)
Henri,2024-09-14 12:09:17,00:17:12,,Young Sheldon: Saison 6: Blonde Ambition et le concept du zéro (Épisode 4),,Google Sabrina ATV Set Top Box,00:18:00,00:18:00,FR (France)
Henri,2024-09-14 11:50:07,00:19:08,,Young Sheldon: Saison 6: Passion's Harvest et la Sheldocratie (Épisode 3),,Google Sabrina ATV Set Top Box,00:19:42,00:19:42,FR (France)
Henri,2024-09-14 11:43:20,00:06:44,Autoplayed: user action: User_Interaction; ,Young Sheldon: Saison 6: Le Worf du futur et la margarita du Pacifique Sud (Épisode 2),,Google Sabrina ATV Set Top Box,00:20:03,00:20:03,FR (France)
Henri,2024-09-14 11:43:06,00:00:02,,KAOS: Saison 1: Épisode 1 (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:02,00:00:02,FR (France)
Henri,2024-09-14 11:42:41,00:00:22,Autoplayed: user action: None; ,Teaser 3 : KAOS,TEASER_TRAILER,Google Sabrina ATV Set Top Box,00:00:22,00:00:22,FR (France)
Henri,2024-09-05 10:09:07,00:12:49,Autoplayed: user action: User_Interaction; ,Young Sheldon: Saison 6: Le Worf du futur et la margarita du Pacifique Sud (Épisode 2),,Google Sabrina ATV Set Top Box,00:13:19,Not latest view,FR (France)
Henri,2024-09-05 09:50:25,00:18:38,Autoplayed: user action: User_Interaction; ,Young Sheldon: Saison 6: Quatre cents cartouches non déclarées et un problème de nomenclature (Épisode 1),,Google Sabrina ATV Set Top Box,00:19:14,00:19:14,FR (France)
Henri,2024-09-04 19:06:21,00:00:21,,Young Sheldon: Saison 6: Quatre cents cartouches non déclarées et un problème de nomenclature (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:26,Not latest view,FR (France)
Henri,2024-09-04 19:06:15,00:00:03,Autoplayed: user action: None; ,Young Sheldon: Saison 6: Quatre cents cartouches non déclarées et un problème de nomenclature (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:03,Not latest view,FR (France)
Henri,2024-09-04 19:05:56,00:00:12,Autoplayed: user action: None; ,Young Sheldon: Season 1_hook_01_16x9_backfill,HOOK,Google Sabrina ATV Set Top Box,00:00:13,00:00:13,FR (France)
Henri,2024-08-12 19:58:07,00:23:31,,Umbrella Academy: Saison 4: La fin du début (Épisode 6),,Google Sabrina ATV Set Top Box,01:07:34,01:07:34,FR (France)
Henri,2024-08-10 22:50:59,01:07:28,,Umbrella Academy: Saison 4: La fin du début (Épisode 6),,Google Sabrina ATV Set Top Box,01:07:38,Not latest view,FR (France)
Henri,2024-08-10 21:50:45,00:54:51,,"Umbrella Academy: Saison 4: Six ans, cinq mois et deux jours (Épisode 5)",,Google Sabrina ATV Set Top Box,00:54:52,00:54:52,FR (France)
Henri,2024-08-10 21:34:26,00:16:15,,Umbrella Academy: Saison 4: La purge (Épisode 4),,Google Sabrina ATV Set Top Box,00:51:05,00:51:05,FR (France)
Henri,2024-08-10 21:33:34,00:00:35,Autoplayed: user action: None; ,Les désastreuses aventures des orphelins Baudelaire (B.-A.),TRAILER,Google Sabrina ATV Set Top Box,00:00:35,00:00:35,FR (France)
Henri,2024-08-10 10:23:48,00:15:54,,Locke & Key: Saison 1: Bienvenue à Matheson (Épisode 1),,Google Sabrina ATV Set Top Box,00:16:32,00:16:32,FR (France)
Henri,2024-08-10 10:02:34,00:00:06,Autoplayed: user action: User_Interaction; ,Locke & Key: Saison 1: Bienvenue à Matheson (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:01,Not latest view,FR (France)
Henri,2024-08-10 10:02:19,00:00:08,Autoplayed: user action: None; ,Lolita malgré moi,,Google Sabrina ATV Set Top Box,00:00:08,00:00:08,FR (France)
Henri,2024-08-10 10:01:47,00:00:10,Autoplayed: user action: None; ,Ils sont partout,,Google Sabrina ATV Set Top Box,00:00:10,00:00:10,FR (France)
Henri,2024-08-10 10:01:15,00:00:08,Autoplayed: user action: None; ,Kingsman: The Secret Service_hook_01_16x9,HOOK,Google Sabrina ATV Set Top Box,00:00:08,00:00:08,FR (France)
Henri,2024-08-09 22:32:46,00:28:17,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 4: La purge (Épisode 4),,Google Sabrina ATV Set Top Box,00:34:52,Not latest view,FR (France)
Henri,2024-08-09 22:25:32,00:06:36,,Umbrella Academy: Saison 4: La purge (Épisode 4),,Google Sabrina ATV Set Top Box,00:06:40,Not latest view,FR (France)
Henri,2024-08-09 21:32:11,00:52:05,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 4: Dans le ventre de la pieuvre (Épisode 3),,Google Sabrina ATV Set Top Box,00:51:58,00:51:58,FR (France)
Henri,2024-08-08 21:00:53,00:43:11,,Umbrella Academy: Saison 4: Jean et Gene (Épisode 2),,Google Sabrina ATV Set Top Box,00:43:22,00:43:22,FR (France)
Henri,2024-08-08 21:00:00,00:00:29,,Umbrella Academy: Saison 4: L'insoutenable tragédie des désirs satisfaits (Épisode 1),,Google Sabrina ATV Set Top Box,00:48:09,00:48:09,FR (France)
Henri,2024-08-08 20:59:46,00:00:06,Autoplayed: user action: None; ,Umbrella Academy: Saison 4: Jean et Gene (Épisode 2),,Google Sabrina ATV Set Top Box,00:00:16,Not latest view,FR (France)
Henri,2024-08-08 19:59:17,00:48:00,,Umbrella Academy: Saison 4: L'insoutenable tragédie des désirs satisfaits (Épisode 1),,Google Sabrina ATV Set Top Box,00:48:01,Not latest view,FR (France)
Henri,2024-08-08 10:20:13,00:00:02,Autoplayed: user action: None; ,Umbrella Academy: Saison 4: L'insoutenable tragédie des désirs satisfaits (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:02,Not latest view,FR (France)
Henri,2024-08-08 10:20:10,00:00:01,Autoplayed: user action: None; ,Umbrella Academy: Saison 4: L'insoutenable tragédie des désirs satisfaits (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:01,Not latest view,FR (France)
Henri,2024-08-08 10:20:00,00:00:02,,Umbrella Academy: Saison 4: L'insoutenable tragédie des désirs satisfaits (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:02,Not latest view,FR (France)
Henri,2024-08-07 22:40:27,00:01:38,,Saison 4 (Teaser) : Umbrella Academy,TEASER_TRAILER,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:01:39,00:01:39,FR (France)
Henri,2024-08-07 22:39:44,00:02:11,,Show bouillant : Pays-Bas et Allemagne: Saison 1: Carte blanche dans le quartier rouge d'Amsterdam (Épisode 1),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:00:01,00:00:01,FR (France)
Henri,2024-08-07 21:48:47,00:45:42,,Umbrella Academy: Saison 3: Oblivion (Épisode 10),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:49:22,00:49:22,FR (France)
Henri,2024-08-07 21:31:39,00:17:00,,Umbrella Academy: Saison 3: Les sept cloches (Épisode 9),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:36:10,00:36:10,FR (France)
Henri,2024-08-07 16:11:31,00:10:15,,Umbrella Academy: Saison 3: Les sept cloches (Épisode 9),,Google Sabrina ATV Set Top Box,00:10:21,Not latest view,FR (France)
Henri,2024-08-07 15:44:28,00:25:56,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 3: Le mariage de la fin du monde (Épisode 8),,Google Sabrina ATV Set Top Box,00:45:00,00:45:00,FR (France)
Henri,2024-08-07 15:24:42,00:19:00,,Umbrella Academy: Saison 3: Le mariage de la fin du monde (Épisode 8),,Google Sabrina ATV Set Top Box,00:19:05,Not latest view,FR (France)
Henri,2024-08-07 14:37:08,00:47:32,,Umbrella Academy: Saison 3: Auf Wiedersehen (Épisode 7),,Google Sabrina ATV Set Top Box,00:47:37,00:47:37,FR (France)
Henri,2024-08-07 13:51:07,00:43:35,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 3: Marigold (Épisode 6),,Google Sabrina ATV Set Top Box,00:43:46,00:43:46,FR (France)
Henri,2024-08-07 13:10:54,00:40:10,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 3: Un moindre mal (Épisode 5),,Google Sabrina ATV Set Top Box,00:40:15,00:40:15,FR (France)
Henri,2024-08-07 12:23:31,00:47:11,,Umbrella Academy: Saison 3: Kugelblitz (Épisode 4),,Google Sabrina ATV Set Top Box,00:47:11,00:47:11,FR (France)
Henri,2024-08-07 11:38:54,00:44:34,,Umbrella Academy: Saison 3: Les éclairs de Lester (Épisode 3),,Google Sabrina ATV Set Top Box,00:44:39,00:44:39,FR (France)
Henri,2024-08-07 11:13:57,00:22:25,,Umbrella Academy: Saison 3: La plus grosse pelote de ficelle du monde (Épisode 2),,Google Sabrina ATV Set Top Box,00:47:53,00:47:53,FR (France)
Henri,2024-08-07 11:01:24,00:00:39,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 3: La plus grosse pelote de ficelle du monde (Épisode 2),,Google Sabrina ATV Set Top Box,00:25:30,Not latest view,FR (France)
Henri,2024-08-07 09:17:34,00:15:50,,Umbrella Academy: Saison 3: La plus grosse pelote de ficelle du monde (Épisode 2),,DefaultWidevineAndroidPhone,00:24:52,Not latest view,FR (France)
Henri,2024-08-07 08:40:02,00:37:31,,Umbrella Academy: Saison 3: Mes enfants (Épisode 1),,DefaultWidevineAndroidPhone,00:45:41,00:45:41,FR (France)
Henri,2024-08-07 08:39:57,00:00:04,,Cinemagraph2: The Dragon Prince: Xadia,CINEMAGRAPH,DefaultWidevineAndroidPhone,00:00:04,00:00:04,FR (France)
Henri,2024-08-06 22:16:29,00:00:05,,Umbrella Academy: Saison 3: Mes enfants (Épisode 1),,Google Sabrina ATV Set Top Box,00:00:09,Not latest view,FR (France)
Henri,2024-08-06 21:28:20,00:47:19,,Umbrella Academy: Saison 2: La fin de quelque chose (Épisode 10),,Google Sabrina ATV Set Top Box,00:46:56,00:46:56,FR (France)
Henri,2024-08-06 21:06:16,00:22:02,,Umbrella Academy: Saison 2: 743 (Épisode 9),,Google Sabrina ATV Set Top Box,00:38:17,00:38:17,FR (France)
Henri,2024-08-06 20:26:19,00:16:19,,Umbrella Academy: Saison 2: 743 (Épisode 9),,Google Sabrina ATV Set Top Box,00:16:20,Not latest view,FR (France)
Henri,2024-08-06 19:36:32,00:44:38,,Umbrella Academy: Saison 2: Les sept phases (Épisode 8),,Google Sabrina ATV Set Top Box,00:44:49,00:44:49,FR (France)
Henri,2024-08-06 16:37:14,00:00:06,,Umbrella Academy: Saison 2: Les sept phases (Épisode 8),,Google Sabrina ATV Set Top Box,00:00:11,Not latest view,FR (France)
Henri,2024-08-06 16:07:31,00:29:41,,Umbrella Academy: Saison 2: Öga för öga (Épisode 7),,Google Sabrina ATV Set Top Box,00:45:05,00:45:05,FR (France)
Henri,2024-08-06 15:30:18,00:15:21,,Umbrella Academy: Saison 2: Öga för öga (Épisode 7),,Google Sabrina ATV Set Top Box,00:15:26,Not latest view,FR (France)
Henri,2024-08-06 14:42:32,00:47:44,,Umbrella Academy: Saison 2: Un dîner léger (Épisode 6),,Google Sabrina ATV Set Top Box,00:47:49,00:47:49,FR (France)
Henri,2024-08-06 14:29:18,00:13:11,,Umbrella Academy: Saison 2: Valhalla (Épisode 5),,Google Sabrina ATV Set Top Box,00:45:39,00:45:39,FR (France)
Henri,2024-08-06 12:40:36,00:32:26,,Umbrella Academy: Saison 2: Valhalla (Épisode 5),,Google Sabrina ATV Set Top Box,00:32:31,Not latest view,FR (France)
Henri,2024-08-06 11:53:57,00:46:38,,Umbrella Academy: Saison 2: Les Douze Magnifiques (Épisode 4),,Google Sabrina ATV Set Top Box,00:46:43,00:46:43,FR (France)
Henri,2024-08-06 11:32:19,00:21:36,,Umbrella Academy: Saison 2: Les Suédois (Épisode 3),,Google Sabrina ATV Set Top Box,00:46:01,00:46:01,FR (France)
Henri,2024-08-06 11:05:27,00:16:20,,Umbrella Academy: Saison 2: Les Suédois (Épisode 3),,Google Sabrina ATV Set Top Box,00:24:30,Not latest view,FR (France)
Henri,2024-08-06 10:25:45,00:08:14,,Umbrella Academy: Saison 2: Les Suédois (Épisode 3),,Google Sabrina ATV Set Top Box,00:08:14,Not latest view,FR (France)
Henri,2024-08-06 10:06:09,00:17:16,,Umbrella Academy: Saison 2: Les Frankel (Épisode 2),,Google Sabrina ATV Set Top Box,00:46:02,00:46:02,FR (France)
Henri,2024-08-06 09:05:34,00:28:44,,Umbrella Academy: Saison 2: Les Frankel (Épisode 2),,Google Sabrina ATV Set Top Box,00:28:50,Not latest view,FR (France)
Henri,2024-08-06 08:55:48,00:08:31,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 2: Retour à la case départ (Épisode 1),,Google Sabrina ATV Set Top Box,00:44:49,00:44:49,FR (France)
Henri,2024-08-05 10:59:42,00:05:33,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 2: Retour à la case départ (Épisode 1),,Google Sabrina ATV Set Top Box,00:36:20,Not latest view,FR (France)
Henri,2024-08-05 07:38:34,00:27:43,,Umbrella Academy: Saison 2: Retour à la case départ (Épisode 1),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:35:11,Not latest view,FR (France)
Henri,2024-08-05 07:01:55,00:36:13,,Umbrella Academy: Saison 1: Le Violon blanc (Épisode 10),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:48:07,00:48:07,FR (France)
Henri,2024-08-04 15:01:34,00:00:16,,Umbrella Academy: Saison 1: Le Violon blanc (Épisode 10),,Google Sabrina ATV Set Top Box,00:00:24,Not latest view,FR (France)
Henri,2024-08-04 14:22:34,00:00:02,,Umbrella Academy: Saison 1: Changements (Épisode 9),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:05:21,00:05:21,FR (France)
Henri,2024-08-04 14:19:44,00:40:38,,Umbrella Academy: Saison 1: Changements (Épisode 9),,Google Sabrina ATV Set Top Box,00:43:30,Not latest view,FR (France)
Henri,2024-08-04 13:57:37,00:02:50,,Umbrella Academy: Saison 1: Changements (Épisode 9),,Google Sabrina ATV Set Top Box,00:02:55,Not latest view,FR (France)
Henri,2024-08-04 13:30:28,00:24:41,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 1: J'ai entendu une rumeur (Épisode 8),,Google Sabrina ATV Set Top Box,00:50:00,00:50:00,FR (France)
Henri,2024-08-04 13:01:11,00:25:47,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 1: J'ai entendu une rumeur (Épisode 8),,Google Sabrina ATV Set Top Box,00:25:52,Not latest view,FR (France)
Henri,2024-08-04 12:40:16,00:20:53,,Umbrella Academy: Saison 1: Le jour que l'on regrette (Épisode 7),,Google Sabrina ATV Set Top Box,00:54:56,00:54:56,FR (France)
Henri,2024-08-04 12:15:44,00:19:11,Autoplayed: user action: User_Interaction; ,Umbrella Academy: Saison 1: Le jour que l'on regrette (Épisode 7),,Google Sabrina ATV Set Top Box,00:34:07,Not latest view,FR (France)
Henri,2024-08-04 08:46:15,00:09:22,,Umbrella Academy: Saison 1: Le jour que l'on regrette (Épisode 7),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:15:00,Not latest view,FR (France)
Henri,2024-08-02 23:20:16,00:00:01,Autoplayed: user action: None; ,Umbrella Academy: Saison 1: Le jour que l'on regrette (Épisode 7),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:00:09,Not latest view,FR (France)
Henri,2024-08-02 22:38:31,00:36:53,,Umbrella Academy: Saison 1: Le jour que l'on attend (Épisode 6),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:56:13,00:56:13,FR (France)
Henri,2024-08-02 22:17:48,00:17:33,,Umbrella Academy: Saison 1: Numéro Cinq (Épisode 5),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:58:16,00:58:16,FR (France)
Henri,2024-08-02 22:04:52,00:09:58,,Umbrella Academy: Saison 1: Numéro Cinq (Épisode 5),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:32:02,Not latest view,FR (France)
Henri,2024-08-02 19:06:51,00:10:50,,Umbrella Academy: Saison 1: Numéro Cinq (Épisode 5),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:17:06,Not latest view,FR (France)
Henri,2024-08-02 18:34:25,00:32:02,,Umbrella Academy: Saison 1: L'homme sur la Lune (Épisode 4),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:54:56,00:54:56,FR (France)
Henri,2024-08-02 18:00:02,00:33:40,,Umbrella Academy: Saison 1: Extra ordinaire (Épisode 3),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:54:30,00:54:30,FR (France)
Henri,2024-08-02 17:57:50,00:02:49,,Umbrella Academy: Saison 1: Cours ! (Épisode 2),,Apple iPad Pro 12.9 in 5th Gen (Wi-Fi) iPad,00:55:37,00:55:37,FR (France)
